for example of band-postprocess
    1.00000 0.00000 0.00000
    0.00000 1.00000 0.00000
    0.00000 0.00000 1.00000
            2
            3
    1    1    1

 -1    0    0
 1    1    1.000000  0.00000
 2    1    0.000000  0.00000
 1    2    0.000000  0.00000
 2    2    0.500000  0.00000

 0    0    0
 1    1    2.000000  0.00000
 2    1    0.300000  0.00000
 1    2    0.300000  0.00000
 2    2    2.000000  0.00000

 1    0    0
 1    1    1.000000  0.00000
 2    1    0.000000  0.00000
 1    2    0.000000  0.00000
 2    2    0.500000  0.00000
